iter	Passed	Remaining
931	22464	1639
932	22483	1614
933	22504	1590
934	22524	1565
935	22543	1541
936	22564	1517
937	22585	1492
938	22607	1468
939	22629	1444
940	22648	1420
941	22669	1395
942	22690	1371
943	22712	1347
944	22734	1323
945	22755	1298
946	22776	1274
947	22799	1250
948	22823	1226
949	22845	1202
950	22867	1178
951	22888	1154
952	22909	1129
953	22930	1105
954	22950	1081
955	22971	1057
956	22993	1033
957	23014	1009
958	23035	984
959	23057	960
960	23078	936
961	23100	912
962	23122	888
963	23145	864
964	23166	840
965	23188	816
966	23211	792
967	23235	768
968	23257	744
969	23316	721
970	23365	697
971	23406	674
972	23427	650
973	23447	625
974	23468	601
975	23490	577
976	23511	553
977	23533	529
978	23553	505
979	23576	481
980	23598	457
981	23618	432
982	23640	408
983	23662	384
984	23683	360
985	23705	336
986	23726	312
987	23745	288
988	23767	264
989	23790	240
990	23811	216
991	23832	192
992	23853	168
993	23876	144
994	23898	120
995	23920	96
996	23942	72
997	23963	48
998	23986	24
999	24006	0
